20-HCV-1030_Y_Value,20-LV-1031_HSI_InternalSetPointValue,20-LT-1031_HSI_X_Value,20-LV-1031_Z_X_Value,20-LV-1031_Z_Y_Value,20-LV-1034_HSI_InternalSetPointValue,20-LT-1034_HSI_X_Value,20-LV-1034_Z_X_Value,20-LV-1034_Z_Y_Value,20-PV-1037_HSI_InternalSetPointValue,20-PST-1037_HSI_X_Value,20-PV-1037_Z_X_Value,20-PV-1037_Z_Y_Value
50.0,2.0,1.9769527450000002,1.9769527450000002,51.268910000000005,0.8,0.800277924,0.800277924,49.6547985,20.0,19.997221,19.9971304,39.325678499999995
50.0,2.0,1.97866205,1.97866205,51.326522600000004,0.8,0.8002857,0.8002857,49.657061600000006,20.0,19.99542635,19.9954233,39.3226814
50.0,2.0,1.9806829700000002,1.9806829700000002,51.400508599999995,0.8,0.800296,0.800296,49.659890000000004,20.0,19.9934987,19.993309949999997,39.318374649999996
50.0,2.0,1.982306,1.982306,51.45980075,0.8,0.8003052255,0.8003052255,49.66246795,20.0,19.991607700000003,19.991516150000002,39.313945000000004
50.0,2.0,1.98397189,1.98397189,51.5245,0.8,0.800315648,0.800315648,49.665252699999996,20.0,19.98960215,19.98960215,39.3087
50.0,2.0,1.985513565,1.985513565,51.5895534,0.8,0.8003262695,0.8003262695,49.667895,20.0,19.9878693,19.987771000000002,39.3034674
50.0,2.0,1.98725772,1.98725772,51.6621742,0.8,0.8003393,0.8003393,49.6712837,20.0,19.98584,19.9856472,39.29634
50.0,2.0,1.988410295,1.988410295,51.711545,0.8,0.8003485695,0.8003485695,49.673715,20.0,19.9843874,19.9841967,39.29087065
50.0,2.0,1.989912275,1.989912275,51.778885,0.8,0.800361544,0.800361544,49.6769923,20.0,19.982463850000002,19.982276,39.2832873
50.0,2.0,1.9913725850000001,1.9913725850000001,51.846375,0.8,0.800375104,0.800375104,49.680452349999996,20.0,19.980565,19.980376149999998,39.27501335
50.0,2.0,1.99278587,1.99278587,51.914132949999996,0.8,0.8003891175,0.8003891175,49.6839923,20.0,19.978676800000002,19.97849175,39.26619375
50.0,2.0,1.9941544549999999,1.9941544549999999,51.98175315,0.8,0.8004036295000001,0.8004036295000001,49.687685,20.0,19.9768179,19.97663635,39.2566931
50.0,2.0,1.99547881,1.99547881,52.04941305,0.8,0.800418496,0.800418496,49.69148885,20.0,19.97499465,19.9748163,39.24660825
50.0,2.0,1.9967585250000002,1.9967585250000002,52.11691755,0.8,0.800433735,0.800433735,49.69542,20.0,19.9732075,19.973034849999998,39.235825
50.0,2.0,1.997933745,1.997933745,52.180854800000006,0.8,0.8004485,0.8004485,49.6993467,20.0,19.971468549999997,19.971383699999997,39.2246952
50.0,1.6,1.9990680250000001,1.9990680250000001,52.480271599999995,0.8,0.8004634225,0.8004634225,49.70333695,20.0,19.9697876,19.9697876,39.21316655
50.0,1.6,2.000107645,2.000107645,53.3249328,0.8,0.80047975,0.80047975,49.7076225,20.0,19.96757165,19.96757165,39.20025655
50.0,1.6,2.00064784,2.00064784,54.1421146,0.8,0.8004993835,0.8004993835,49.712411849999995,20.0,19.96325305,19.9630108,39.183825
50.0,1.6,2.0004763333333333,2.0004763333333333,55.054848933333325,0.8,0.8005265333333332,0.8005265333333332,49.7187144,20.0,19.95708085,19.9550756,39.15941420000001
50.0,1.6,1.99992907,1.99992907,55.67014,0.8,0.800550044,0.800550044,49.7238159,20.0,19.94877435,19.948,39.13874
50.0,1.6,1.99865353,1.99865353,56.3976707,0.8,0.8005864695,0.8005864695,49.731252850000004,20.0,19.938872349999997,19.93727095,39.10778765
50.0,1.6,1.99726403,1.99726403,56.998907,0.8,0.8006211205,0.8006211205,49.73820685,20.0,19.9282538,19.9277468,39.07817075
50.0,1.6,1.9945305133333333,1.9945305133333333,57.834466666666664,0.8,0.800683223,0.800683223,49.750193333333335,20.0,19.91614285,19.912176766666665,39.02725
50.0,1.6,1.99182081,1.99182081,58.5172119,0.8,0.800742447,0.800742447,49.7615471,20.0,19.90329595,19.8986855,38.9785576
50.0,1.6,1.98956877,1.98956877,58.95872,0.8,0.800791017,0.800791017,49.770598,20.0,19.8899879,19.88864425,38.940885
50.0,1.6,1.9862577300000002,1.9862577300000002,59.515114999999994,0.8,0.8008621,0.8008621,49.78369855,20.0,19.8764095,19.8750496,38.887167149999996
50.0,1.6,1.982772645,1.982772645,60.07288825,0.8,0.80093665,0.80093665,49.79771045,20.0,19.8627081,19.8620291,38.82847975
50.0,1.6,1.9790074249999998,1.9790074249999998,60.50500325,0.8,0.8010172760000001,0.8010172760000001,49.81227285,20.0,19.8490629,19.84910775,38.7722177
50.0,1.6,1.974269155,1.974269155,61.0564899,0.8,0.8011179565,0.8011179565,49.831067250000004,20.0,19.83570385,19.83440495,38.69638500000001
50.0,1.6,1.968252895,1.968252895,61.612661349999996,0.8,0.80124595,0.80124595,49.854694,20.0,19.81962965,19.81778885,38.605360000000005
50.0,1.6,1.964047255,1.964047255,61.9842701,0.8,0.8013344204999999,0.8013344204999999,49.8714439,20.0,19.80733585,19.807374,38.539619450000004
50.0,1.6,1.958922145,1.958922145,62.39211845,0.8,0.801442528,0.801442528,49.892028800000006,20.0,19.79518985,19.795776500000002,38.4602814
50.0,1.6,1.95278215,1.95278215,62.816242200000005,0.8,0.8015713095,0.8015713095,49.91670795,20.0,19.784326550000003,19.7833004,38.367225000000005
50.0,1.6,1.947167455,1.947167455,63.18110085,0.8,0.8016853315000001,0.8016853315000001,49.93923635,20.0,19.77521875,19.77331755,38.280748349999996
50.0,1.6,1.941931425,1.941931425,63.548441600000004,0.8,0.801789077,0.801789077,49.9608,20.0,19.765049949999998,19.765049949999998,38.19370145
50.0,1.6,1.93591422,1.93591422,63.85017395,0.8,0.801905155,0.801905155,49.9844078,20.0,19.7570858,19.75667765,38.104667649999996
50.0,1.6,1.9294128449999999,1.9294128449999999,64.12781305,0.8,0.8020272694999999,0.8020272694999999,50.0095501,20.0,19.74948705,19.74876105,38.0113077
50.0,1.6,1.92307758,1.92307758,64.39529,0.8,0.8021423,0.8021423,50.0341377,20.0,19.7430229,19.7424355,37.91832
50.0,1.6,1.91823155,1.91823155,64.581085,0.8,0.80222735,0.80222735,50.05277155,20.0,19.738806750000002,19.7383051,37.84779655
50.0,1.6,1.911658415,1.911658415,64.804025,0.8,0.8023388499999999,0.8023388499999999,50.0776558,20.0,19.7340336,19.733618749999998,37.754315950000006
50.0,1.6,1.90496123,1.90496123,65.014895,0.8,0.8024470505,0.8024470505,50.102706749999996,20.0,19.730381,19.7299229,37.659315
50.0,1.6,1.898839775,1.898839775,65.24683,0.8,0.8025414,0.8025414,50.126362,20.0,19.727483149999998,19.72737815,37.564407349999996
50.0,1.6,1.8912567500000002,1.8912567500000002,65.386835,0.8,0.802652221,0.802652221,50.1528263,20.0,19.72545335,19.72525785,37.46791
50.0,1.6,1.88531077,1.88531077,65.601635,0.8,0.8027330205000001,0.8027330205000001,50.17559625,20.0,19.72443485,19.72443485,37.37346875
50.0,1.6,1.8763396733333335,1.8763396733333335,65.71531666666668,0.8,0.8028448073333333,0.8028448073333333,50.204990366666664,20.0,19.72445965,19.724653466666666,37.264365166666664
50.0,1.6,1.8689332,1.8689332,65.84599,0.8,0.8029285,0.8029285,50.22973,20.0,19.7254519,19.72581,37.1665535
50.0,1.6,1.8631485099999998,1.8631485099999998,65.909035,0.8,0.802987465,0.802987465,50.2477911,20.0,19.727298750000003,19.7275524,37.096344
